Measure Group: FFT
Measurement: FFT ch2
Ch1 Eng. Units: Off
Ch2 Eng. Units: Off
Ch1 EU Label: m/s2
Ch2 EU Label: m/s2
Ch1 User Label: EU
Ch2 User Label: EU
Ch1 EU/Volt:  1 EU/V
Ch2 EU/Volt:  1 EU/V
Base Freq.:  102.4 kHz 
Start Freq.: 0 Hz
Span: 3.2 kHz
FFT Lines:  800 
Window: Uniform
Force Length: 100%
Expo TC: 50%
Averaging: On
Averaging Mode: RMS
Averaging Type: Exponential
# Avgs:    6
Time Record Incr.: 100.00%
Overload Reject: On
d/dx window (%):     0.0005
dBm Ref. Imped.:         50 
Auto Offset: On
Ch1 Input Mode: A
Ch1 Grounding: Ground
Ch1 Coupling: AC
Ch2 Input Mode: A
Ch2 Grounding: Float
Ch2 Coupling: AC
Ch1 AA Filter: On
Ch2 AA Filter: On
Ch1 A-Wt Fitler: Off
Ch2 A-Wt Filter: Off
Ch1 AutoRange: Normal
Ch2 AutoRange: Normal
Playback Start: 0
Playback Length:  494 kPts/ch
Playback Mode: Circular
Playback Speed: Normal
Ch1 Input Range:  -50 dBV
Ch2 Input Range:  -24 dBV
Trig'd Source Mode: Continuous
Trigger Mode: Free Run
Trigger Source: Ch 1
Trigger Level: 0%
Trigger Slope: Rising
Delay A: 0 bins
Delay B: 0 bins
Source: 1
Source Type: 0
Sine Freq 1: 100 kHz
Sine Freq 2: 51.2 kHz
Sine Amp 1: 1000.0 mV
Src Offset: 4000.0 mV
Sine Amp 2:   0.0 mV
Noise Amp: 5000.0 mV
Noise Burst:   0 %
Noise Type: Whte
Chirp Amp: 1000.0 mV
Chirp Burst:   0 %
Chirp Source: Display B
Arb Src Amp: 100.01 %
Arb Src Buf: Arb. Buffer
Arb Src Rate: 262.1 kHz
Arb Src Start: 0
Arb Src Len:    4 kPts
Input Source: Analog
****DATA BEGINS****
            x  	         Real    	         Imag    	      Log Mag
              0	    6.872199e-005	    2.591622e-007	        -83.25803
              4	    4.881239e-006	     5.92413e-006	        -102.2972
              8	    2.684447e-006	    5.966386e-006	        -103.6852
             12	     3.98902e-006	    5.057281e-006	        -103.8207
             16	    5.689831e-006	    2.836612e-006	         -103.934
             20	    4.802643e-006	    4.139851e-006	        -103.9573
             24	    3.299678e-006	    4.789641e-006	        -104.7072
             28	     5.15683e-006	    5.088623e-006	        -102.7995
             32	    3.915477e-006	    5.268425e-006	        -103.6565
             36	    4.450506e-006	    3.958485e-006	        -104.5006
             40	    5.564546e-006	    2.902781e-006	        -104.0461
             44	    4.233521e-006	    3.866851e-006	        -104.8313
             48	    3.597005e-006	    4.241693e-006	        -105.0961
             52	    3.899837e-006	    4.529529e-006	        -104.4702
             56	    4.892069e-006	    5.226986e-006	        -102.9027
             60	    9.223114e-005	    3.812955e-005	        -80.01721
             64	    5.213981e-006	    4.602159e-006	        -103.1546
             68	    4.687268e-006	    3.826467e-006	        -104.3637
             72	    3.911647e-006	    4.563972e-006	        -104.4212
             76	     4.19869e-006	    4.154048e-006	        -104.5736
             80	    2.966446e-006	    3.555139e-006	         -106.688
             84	    4.413726e-006	      3.5953e-006	        -104.8936
             88	    5.175584e-006	    5.823486e-006	        -102.1681
             92	    5.093487e-006	    5.036474e-006	         -102.898
             96	    3.908955e-006	    3.343697e-006	        -105.7741
            100	    3.918105e-006	    4.362882e-006	        -104.6361
            104	    3.731195e-006	    3.390919e-006	        -105.9482
            108	    4.017163e-006	    3.888212e-006	        -105.0507
            112	    3.717325e-006	    3.657705e-006	        -105.6547
            116	    4.056832e-006	    4.129229e-006	        -104.7485
            120	    1.464343e-005	    4.206651e-006	        -96.34276
            124	    2.445857e-006	    4.050253e-006	        -106.5001
            128	    4.178429e-006	     4.24534e-006	        -104.4999
            132	     4.17089e-006	    3.446459e-006	        -105.3351
