Measure Group: FFT
Measurement: FFT ch2
Ch1 Eng. Units: Off
Ch2 Eng. Units: Off
Ch1 EU Label: m/s2
Ch2 EU Label: m/s2
Ch1 User Label: EU
Ch2 User Label: EU
Ch1 EU/Volt:  1 EU/V
Ch2 EU/Volt:  1 EU/V
Base Freq.:  102.4 kHz 
Start Freq.: 0 Hz
Span: 12.8 kHz
FFT Lines:  800 
Window: Uniform
Force Length: 100%
Expo TC: 50%
Averaging: On
Averaging Mode: RMS
Averaging Type: Exponential
# Avgs:   10
Time Record Incr.: 100.00%
Overload Reject: On
d/dx window (%):     0.0005
dBm Ref. Imped.:         50 
Auto Offset: On
Ch1 Input Mode: A
Ch1 Grounding: Ground
Ch1 Coupling: AC
Ch2 Input Mode: A
Ch2 Grounding: Float
Ch2 Coupling: AC
Ch1 AA Filter: On
Ch2 AA Filter: On
Ch1 A-Wt Fitler: Off
Ch2 A-Wt Filter: Off
Ch1 AutoRange: Normal
Ch2 AutoRange: Normal
Playback Start: 0
Playback Length:  494 kPts/ch
Playback Mode: Circular
Playback Speed: Normal
Ch1 Input Range:  -50 dBV
Ch2 Input Range:  -32 dBV
Trig'd Source Mode: Continuous
Trigger Mode: Free Run
Trigger Source: Ch 1
Trigger Level: 0%
Trigger Slope: Rising
Delay A: 0 bins
Delay B: 0 bins
Source: 1
Source Type: 0
Sine Freq 1: 100 kHz
Sine Freq 2: 51.2 kHz
Sine Amp 1: 1000.0 mV
Src Offset: 4000.0 mV
Sine Amp 2:   0.0 mV
Noise Amp: 5000.0 mV
Noise Burst:   0 %
Noise Type: Whte
Chirp Amp: 1000.0 mV
Chirp Burst:   0 %
Chirp Source: Display B
Arb Src Amp: 100.01 %
Arb Src Buf: Arb. Buffer
Arb Src Rate: 262.1 kHz
Arb Src Start: 0
Arb Src Len:    4 kPts
Input Source: Analog
****DATA BEGINS****
            x  	         Real    	         Imag    	      Log Mag
              0	     0.0003113587	    1.174186e-006	        -70.13472
             16	    1.616904e-005	    1.083443e-005	        -94.21564
             32	    1.327627e-005	    1.443278e-005	        -94.15031
             48	    3.974597e-005	    3.294424e-005	        -85.74292
             64	     0.0001044033	     0.0001035549	         -76.6507
             80	    2.301761e-005	    2.516453e-005	        -89.34396
             96	    1.510865e-005	    1.744261e-005	        -92.73667
            112	    1.436498e-005	    1.898816e-005	        -92.46491
            128	    1.335067e-005	    1.582056e-005	        -93.68018
            144	     1.66848e-005	    1.495173e-005	        -92.99351
            160	    1.972219e-005	    1.362728e-005	        -92.40584
            176	    6.858986e-005	    6.013643e-005	        -80.79826
            192	    1.902402e-005	    3.125327e-005	        -88.73323
            208	    8.522673e-006	    1.877133e-005	        -93.71612
            224	    6.798222e-006	    1.388694e-005	        -96.21488
            240	    7.860644e-006	    1.212248e-005	        -96.80386
            256	    6.097099e-006	    1.052465e-005	        -98.29906
            272	    4.816636e-006	    1.507488e-005	        -96.01276
            288	    1.569116e-005	    2.073694e-005	        -91.69904
            304	    4.712857e-005	    4.021501e-005	        -84.15855
            320	    1.285399e-005	    6.006881e-006	         -96.9614
            336	    1.191265e-005	    1.211062e-005	        -95.39736
            352	    7.746962e-006	    5.533399e-006	        -100.4271
            368	    5.681565e-006	    6.960196e-006	        -100.9299
            384	    5.560332e-006	    5.649943e-006	        -102.0177
            400	     7.68977e-006	    5.869771e-006	        -100.2879
            416	    2.315219e-005	     1.87661e-005	        -90.51494
            432	    4.933905e-006	    6.648577e-006	        -101.6401
            448	    4.158442e-006	    6.245293e-006	        -102.4952
            464	    3.354595e-006	    3.581761e-006	         -106.183
            480	    7.096375e-006	    1.062367e-005	        -97.87225
            496	    3.023329e-006	    4.765281e-006	        -104.9691
            512	    3.731958e-006	    3.967514e-006	         -105.277
            528	    7.258919e-006	    8.065571e-006	        -99.29057
            544	    2.127614e-005	    2.186078e-005	        -90.31252
            560	    5.362197e-006	    5.467849e-006	        -102.3173
            576	     4.42194e-006	    4.967862e-006	        -103.5425
            592	    6.910544e-006	      5.7695e-006	        -100.9129
            608	    9.172089e-006	    3.402419e-006	        -100.1907
            624	    4.518654e-006	    2.572774e-006	        -105.6804
            640	    4.250611e-006	    3.882843e-006	        -104.7959
            656	    1.204192e-005	    8.335182e-006	        -96.68607
            672	    6.429841e-006	    7.169448e-006	        -100.3271
            688	    3.521268e-006	     3.75864e-006	        -105.7632
            704	    2.622594e-006	    2.923817e-006	        -108.1173
            720	     1.38621e-005	    7.539014e-006	         -96.0381
            736	    2.039877e-006	    3.476245e-006	        -107.8927
            752	    3.262833e-006	    3.708372e-006	        -106.1264
            768	    5.423604e-006	    7.226769e-006	        -100.8809
            784	    1.474387e-005	    1.387486e-005	        -93.87329
            800	    4.624925e-006	    4.974226e-006	        -103.3599
            816	    3.722729e-006	    4.639933e-006	        -104.5115
            832	     4.67828e-006	    1.004131e-005	        -99.11105
            848	    4.231199e-006	    7.580334e-006	        -101.2283
            864	    3.361004e-006	    4.816068e-006	         -104.623
            880	    5.075086e-006	    5.798157e-006	         -102.264
            896	    2.651133e-005	    2.764328e-005	        -88.33569
            912	    9.990391e-006	    9.151096e-006	        -97.36244
            928	    5.990606e-006	    5.781808e-006	        -101.5916
            944	    4.257518e-006	    3.927414e-006	        -104.7429
            960	    1.225189e-005	      5.1491e-006	        -97.52955
            976	    4.385497e-006	    2.758671e-006	        -105.7117
            992	    5.314005e-006	    4.440763e-006	        -103.1913
           1008	    1.226726e-005	    1.253936e-005	        -95.11842
           1024	     2.73361e-005	    3.850909e-005	        -86.51654
           1040	    6.898241e-006	     7.27915e-006	        -99.97524
           1056	    6.196527e-006	    4.982061e-006	        -101.9916
           1072	    6.977854e-006	    6.408172e-006	        -100.4694
           1088	    5.398553e-006	    7.503021e-006	        -100.6834
           1104	    3.749959e-006	    4.283998e-006	        -104.8926
           1120	    5.553684e-006	    5.224584e-006	        -102.3553
           1136	    2.594249e-005	    2.278904e-005	        -89.23595
           1152	    7.787062e-006	    9.006403e-006	        -98.48466
           1168	    3.048074e-006	    5.437305e-006	        -104.1055
