Measure Group: FFT
Measurement: FFT ch2
Ch1 Eng. Units: Off
Ch2 Eng. Units: Off
Ch1 EU Label: m/s2
Ch2 EU Label: m/s2
Ch1 User Label: EU
Ch2 User Label: EU
Ch1 EU/Volt:  1 EU/V
Ch2 EU/Volt:  1 EU/V
Base Freq.:  102.4 kHz 
Start Freq.: 0 Hz
Span: 800 Hz
FFT Lines:  800 
Window: Uniform
Force Length: 100%
Expo TC: 50%
Averaging: On
Averaging Mode: RMS
Averaging Type: Exponential
# Avgs:    7
Time Record Incr.: 100.00%
Overload Reject: On
d/dx window (%):     0.0005
dBm Ref. Imped.:         50 
Auto Offset: On
Ch1 Input Mode: A
Ch1 Grounding: Ground
Ch1 Coupling: AC
Ch2 Input Mode: A
Ch2 Grounding: Float
Ch2 Coupling: AC
Ch1 AA Filter: On
Ch2 AA Filter: On
Ch1 A-Wt Fitler: Off
Ch2 A-Wt Filter: Off
Ch1 AutoRange: Normal
Ch2 AutoRange: Normal
Playback Start: 0
Playback Length:  494 kPts/ch
Playback Mode: Circular
Playback Speed: Normal
Ch1 Input Range:  -50 dBV
Ch2 Input Range:  -32 dBV
Trig'd Source Mode: Continuous
Trigger Mode: Free Run
Trigger Source: Ch 1
Trigger Level: 0%
Trigger Slope: Rising
Delay A: 0 bins
Delay B: 0 bins
Source: 1
Source Type: 0
Sine Freq 1: 100 kHz
Sine Freq 2: 51.2 kHz
Sine Amp 1: 1000.0 mV
Src Offset: 4000.0 mV
Sine Amp 2:   0.0 mV
Noise Amp: 5000.0 mV
Noise Burst:   0 %
Noise Type: Whte
Chirp Amp: 1000.0 mV
Chirp Burst:   0 %
Chirp Source: Display B
Arb Src Amp: 100.01 %
Arb Src Buf: Arb. Buffer
Arb Src Rate: 262.1 kHz
Arb Src Start: 0
Arb Src Len:    4 kPts
Input Source: Analog
****DATA BEGINS****
            x  	         Real    	         Imag    	      Log Mag
              0	      0.000220695	    8.322779e-007	        -73.12409
              1	    2.913652e-006	    4.824274e-006	        -104.9808
              2	     1.87255e-006	     4.96257e-006	        -105.5078
              3	    2.915261e-006	    3.159854e-006	        -107.3322
              4	    5.135671e-006	    4.663358e-006	        -103.1766
              5	     1.37809e-006	    1.739197e-006	        -113.0769
              6	    2.058389e-006	    1.897559e-006	        -111.0581
              7	    2.755434e-006	    1.660109e-006	        -109.8513
              8	    3.790331e-006	     6.37921e-006	        -102.5916
              9	    1.724684e-006	    1.160342e-006	        -113.6442
             10	    1.430161e-006	    1.058378e-006	        -114.9955
             11	    1.589121e-006	    1.529163e-006	        -113.1304
             12	    5.159575e-006	    4.405537e-006	        -103.3696
             13	    1.814625e-006	    2.461694e-006	        -110.2906
             14	    7.252002e-007	     1.08932e-006	        -117.6636
             15	    2.043639e-006	     9.15131e-007	        -112.9982
             16	    5.439576e-006	    4.716784e-006	        -102.8536
             17	    1.919945e-006	    9.022865e-007	        -113.4676
             18	    1.105198e-006	    1.946044e-006	        -113.0029
             19	     1.36301e-006	    2.067703e-006	        -112.1231
             20	     4.23113e-006	    4.257218e-006	        -104.4338
             21	     1.22576e-006	    1.380035e-006	        -114.6763
             22	    1.100969e-006	    1.772898e-006	        -113.6098
             23	    1.351594e-006	    2.246978e-006	        -111.6268
             24	    3.484505e-006	    4.614418e-006	         -104.758
             25	    1.177428e-006	    6.627841e-007	        -117.3859
             26	    1.653064e-006	    1.081918e-006	        -114.0858
             27	    3.167293e-006	    2.416722e-006	        -107.9936
             28	    4.175458e-006	     4.68856e-006	        -104.0432
             29	    1.683857e-006	    1.822395e-006	        -112.1067
             30	    1.142317e-006	    1.707769e-006	        -113.7455
             31	    2.181436e-006	     2.41794e-006	        -109.7449
             32	    4.019073e-006	    4.106184e-006	        -104.8131
             33	    1.919206e-006	    1.790311e-006	        -111.6187
