Measure Group: FFT
Measurement: FFT ch2
Ch1 Eng. Units: Off
Ch2 Eng. Units: Off
Ch1 EU Label: m/s2
Ch2 EU Label: m/s2
Ch1 User Label: EU
Ch2 User Label: EU
Ch1 EU/Volt:  1 EU/V
Ch2 EU/Volt:  1 EU/V
Base Freq.:  102.4 kHz 
Start Freq.: 0 Hz
Span: 51.2 kHz
FFT Lines:  800 
Window: Uniform
Force Length: 100%
Expo TC: 50%
Averaging: On
Averaging Mode: RMS
Averaging Type: Exponential
# Avgs:   10
Time Record Incr.: 100.00%
Overload Reject: On
d/dx window (%):     0.0005
dBm Ref. Imped.:         50 
Auto Offset: On
Ch1 Input Mode: A
Ch1 Grounding: Ground
Ch1 Coupling: AC
Ch2 Input Mode: A
Ch2 Grounding: Float
Ch2 Coupling: AC
Ch1 AA Filter: On
Ch2 AA Filter: On
Ch1 A-Wt Fitler: Off
Ch2 A-Wt Filter: Off
Ch1 AutoRange: Normal
Ch2 AutoRange: Normal
Playback Start: 0
Playback Length:  494 kPts/ch
Playback Mode: Circular
Playback Speed: Normal
Ch1 Input Range:  -50 dBV
Ch2 Input Range:  -24 dBV
Trig'd Source Mode: Continuous
Trigger Mode: Free Run
Trigger Source: Ch 1
Trigger Level: 0%
Trigger Slope: Rising
Delay A: 0 bins
Delay B: 0 bins
Source: 1
Source Type: 0
Sine Freq 1: 100 kHz
Sine Freq 2: 51.2 kHz
Sine Amp 1: 1000.0 mV
Src Offset: 4000.0 mV
Sine Amp 2:   0.0 mV
Noise Amp: 5000.0 mV
Noise Burst:   0 %
Noise Type: Whte
Chirp Amp: 1000.0 mV
Chirp Burst:   0 %
Chirp Source: Display B
Arb Src Amp: 100.01 %
Arb Src Buf: Arb. Buffer
Arb Src Rate: 262.1 kHz
Arb Src Start: 0
Arb Src Len:    4 kPts
Input Source: Analog
****DATA BEGINS****
            x  	         Real    	         Imag    	      Log Mag
              0	     0.0004438158	    1.673704e-006	        -67.05589
             64	    1.569607e-007	    1.573276e-007	        -133.0637
            128	    1.051745e-007	    1.205629e-007	        -135.9181
            192	    1.275803e-007	    1.340274e-007	        -134.6546
            256	    1.049958e-007	     1.26624e-007	        -135.6771
            320	    1.128458e-007	    1.265802e-007	        -135.4126
            384	    1.125983e-007	    9.154223e-008	        -136.7658
            448	    1.330123e-007	       1.051e-007	        -135.4154
            512	    1.079213e-007	    1.363568e-007	        -135.1942
            576	     1.08741e-007	    1.277678e-007	        -135.5053
            640	    9.989451e-008	    9.128752e-008	        -137.3726
            704	    1.553192e-007	    1.129057e-007	        -134.3331
            768	    1.303678e-007	    8.630003e-008	        -136.1184
            832	    9.640658e-008	    1.196001e-007	        -136.2712
            896	    1.018616e-007	    1.235198e-007	         -135.912
            960	    1.134637e-007	    1.017705e-007	        -136.3393
           1024	    1.251877e-007	    1.176444e-007	           -135.3
           1088	    1.231477e-007	     1.06038e-007	        -135.7824
           1152	    1.288636e-007	    1.469235e-007	        -134.1802
           1216	    1.250089e-007	    1.375177e-007	         -134.617
           1280	    1.431073e-007	    1.294506e-007	        -134.2902
           1344	    1.206074e-007	     1.22134e-007	        -135.3073
           1408	    1.153746e-007	      1.6595e-007	         -133.888
           1472	     1.39388e-007	      1.4199e-007	        -134.0241
           1536	    1.407555e-007	    1.178162e-007	        -134.7246
           1600	    1.250816e-007	    1.417832e-007	        -134.4675
           1664	    1.162669e-007	     1.01764e-007	        -136.2208
           1728	     1.58421e-007	    1.067918e-007	        -134.3769
           1792	    1.474033e-007	    1.245379e-007	        -134.2902
           1856	    1.507159e-007	    8.348277e-008	        -135.2747
           1920	    1.289517e-007	    1.071724e-007	        -135.5107
           1984	    8.749278e-008	      1.3294e-007	         -135.964
           2048	    1.183395e-007	    9.940327e-008	        -136.2187
           2112	    1.693748e-007	    1.407204e-007	        -133.1435
