Measure Group: FFT
Measurement: FFT ch2
Ch1 Eng. Units: Off
Ch2 Eng. Units: Off
Ch1 EU Label: m/s2
Ch2 EU Label: m/s2
Ch1 User Label: EU
Ch2 User Label: EU
Ch1 EU/Volt:  1 EU/V
Ch2 EU/Volt:  1 EU/V
Base Freq.:  102.4 kHz 
Start Freq.: 0 Hz
Span: 400 Hz
FFT Lines:  800 
Window: Uniform
Force Length: 100%
Expo TC: 50%
Averaging: On
Averaging Mode: RMS
Averaging Type: Exponential
# Avgs:    5
Time Record Incr.: 100.00%
Overload Reject: On
d/dx window (%):     0.0005
dBm Ref. Imped.:         50 
Auto Offset: On
Ch1 Input Mode: A
Ch1 Grounding: Ground
Ch1 Coupling: AC
Ch2 Input Mode: A
Ch2 Grounding: Float
Ch2 Coupling: AC
Ch1 AA Filter: On
Ch2 AA Filter: On
Ch1 A-Wt Fitler: Off
Ch2 A-Wt Filter: Off
Ch1 AutoRange: Normal
Ch2 AutoRange: Normal
Playback Start: 0
Playback Length:  494 kPts/ch
Playback Mode: Circular
Playback Speed: Normal
Ch1 Input Range:  -50 dBV
Ch2 Input Range:  -24 dBV
Trig'd Source Mode: Continuous
Trigger Mode: Free Run
Trigger Source: Ch 1
Trigger Level: 0%
Trigger Slope: Rising
Delay A: 0 bins
Delay B: 0 bins
Source: 1
Source Type: 0
Sine Freq 1: 100 kHz
Sine Freq 2: 51.2 kHz
Sine Amp 1: 1000.0 mV
Src Offset: 4000.0 mV
Sine Amp 2:   0.0 mV
Noise Amp: 5000.0 mV
Noise Burst:   0 %
Noise Type: Whte
Chirp Amp: 1000.0 mV
Chirp Burst:   0 %
Chirp Source: Display B
Arb Src Amp: 100.01 %
Arb Src Buf: Arb. Buffer
Arb Src Rate: 262.1 kHz
Arb Src Start: 0
Arb Src Len:    4 kPts
Input Source: Analog
****DATA BEGINS****
            x  	         Real    	         Imag    	      Log Mag
              0	     0.0001318033	    4.970526e-007	        -77.60141
            0.5	    8.884933e-008	    1.882367e-007	        -133.6324
              1	    5.279886e-008	    9.491654e-008	        -139.2823
            1.5	    2.464231e-008	    6.375713e-008	        -143.3048
              2	    1.974512e-008	    5.939902e-008	        -144.0692
            2.5	    3.094815e-008	    2.560567e-008	        -147.9225
              3	      2.3286e-008	    3.532772e-008	        -147.4708
            3.5	    2.432555e-008	    2.971105e-008	        -148.3136
              4	    1.579032e-008	    3.456773e-008	        -148.4035
            4.5	    1.867783e-008	    3.384914e-008	        -148.2547
              5	    9.334586e-009	    2.345105e-008	         -151.958
            5.5	    1.642492e-008	    2.924228e-008	        -149.4889
              6	    7.710798e-009	    1.925093e-008	        -153.6648
            6.5	     2.22627e-008	    2.391159e-008	        -149.7168
              7	    1.171271e-008	    1.703394e-008	        -153.6922
            7.5	    1.092817e-008	    1.532815e-008	        -154.5053
              8	    1.910486e-008	    1.218137e-008	        -152.8956
            8.5	    1.354573e-008	    1.254668e-008	        -154.6737
              9	    1.333898e-008	    1.555647e-008	        -153.7682
            9.5	    1.723522e-008	    1.652473e-008	        -152.4403
             10	    1.098736e-008	    1.039622e-008	        -156.4054
           10.5	    7.201342e-009	    1.444052e-008	        -155.8438
             11	    1.268232e-008	    1.224865e-008	        -155.0742
           11.5	    9.446873e-009	    2.188692e-008	        -152.4544
             12	    1.268975e-008	    1.814988e-008	        -153.0941
           12.5	    1.113924e-008	    9.262534e-009	        -156.7803
             13	    1.127226e-008	     1.19999e-008	        -155.6693
           13.5	    1.186044e-008	    1.053755e-008	         -155.991
             14	    1.355029e-008	    6.914564e-009	         -156.356
           14.5	    1.146361e-008	    6.209315e-009	        -157.6963
             15	    1.252982e-008	    1.480189e-008	        -154.2471
           15.5	    1.044087e-008	    6.263615e-009	        -158.2902
             16	    1.105742e-008	    1.322027e-008	        -155.2718
           16.5	    1.703116e-008	     1.55508e-008	        -152.7418
             17	    1.498825e-008	    1.870157e-008	        -152.4079
           17.5	    9.453294e-009	     1.26797e-008	        -156.0182
             18	    1.081776e-008	    1.582002e-008	        -154.3498
           18.5	    9.672763e-009	    1.082664e-008	        -156.7617
             19	    1.155676e-008	    1.376843e-008	        -154.9063
           19.5	    5.035306e-009	    1.255405e-008	        -157.3765
             20	    6.159607e-009	      1.8759e-008	        -154.0911
           20.5	    3.789719e-009	    7.254108e-009	        -161.7403
             21	    1.015083e-008	     8.82191e-009	        -157.4265
           21.5	    7.261768e-009	    7.828174e-009	        -159.4304
             22	    1.255601e-008	     9.25073e-009	        -156.1398
           22.5	    8.408052e-009	    1.301496e-008	        -156.1964
             23	     1.20202e-008	    1.631836e-008	         -153.864
           23.5	    5.211683e-009	    1.577794e-008	        -155.5893
             24	    8.641959e-009	    1.801753e-008	        -153.9868
           24.5	    9.173428e-009	    6.694212e-009	        -158.8953
             25	    8.975954e-009	     1.91595e-008	        -153.4906
           25.5	    5.840127e-009	    7.626608e-009	        -160.3493
             26	    6.043336e-009	    9.041754e-009	        -159.2711
           26.5	    1.540568e-008	    1.385017e-008	        -153.6738
             27	    2.026385e-008	    1.141984e-008	        -152.6677
           27.5	    1.137562e-008	    4.347618e-009	        -158.2884
             28	    1.333901e-008	    6.118181e-009	        -156.6683
           28.5	    6.049328e-009	    1.327427e-008	        -156.7203
             29	    5.679094e-009	     1.49562e-008	        -155.9186
           29.5	    1.115773e-008	    9.246353e-009	         -156.778
             30	    7.489858e-009	    9.108128e-009	        -158.5681
           30.5	    1.075215e-008	    1.480844e-008	        -154.7509
             31	    1.235481e-008	    1.243895e-008	        -155.1234
           31.5	    1.071801e-008	     1.30988e-008	        -155.4294
             32	    1.163784e-008	     1.42042e-008	        -154.7211
           32.5	    1.358718e-008	    1.134514e-008	        -155.0401
             33	    1.463306e-008	    1.117936e-008	        -154.6967
           33.5	    1.454122e-008	    1.671741e-008	        -153.0899
             34	    1.689394e-008	    5.832826e-009	        -154.9563
           34.5	    1.172547e-008	    1.147794e-008	        -155.6988
             35	     1.64152e-008	    1.639683e-008	        -152.6896
           35.5	    8.092441e-009	    9.146363e-009	         -158.264
             36	    1.450113e-008	    8.265372e-009	        -155.5502
           36.5	    1.410582e-008	    9.209906e-009	        -155.4699
             37	    6.339984e-009	     1.20613e-008	        -157.3126
           37.5	    1.397432e-008	    1.391351e-008	         -154.102
             38	    8.289718e-009	    1.580133e-008	        -154.9702
           38.5	    8.519573e-009	    5.294245e-009	        -159.9735
             39	    1.226215e-008	    6.637631e-009	        -157.1126
           39.5	    1.179798e-008	    1.195888e-008	        -155.4943
             40	    1.135717e-008	    1.817068e-008	        -153.3804
           40.5	    9.819666e-009	    1.061989e-008	        -156.7942
