Measure Group: FFT
Measurement: FFT ch2
Ch1 Eng. Units: Off
Ch2 Eng. Units: Off
Ch1 EU Label: m/s2
Ch2 EU Label: m/s2
Ch1 User Label: EU
Ch2 User Label: EU
Ch1 EU/Volt:  1 EU/V
Ch2 EU/Volt:  1 EU/V
Base Freq.:  102.4 kHz 
Start Freq.: 0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: Uniform
Force Length: 100%
Expo TC: 50%
Averaging: On
Averaging Mode: RMS
Averaging Type: Exponential
# Avgs:    7
Time Record Incr.: 100.00%
Overload Reject: On
d/dx window (%):     0.0005
dBm Ref. Imped.:         50 
Auto Offset: On
Ch1 Input Mode: A
Ch1 Grounding: Ground
Ch1 Coupling: AC
Ch2 Input Mode: A
Ch2 Grounding: Float
Ch2 Coupling: AC
Ch1 AA Filter: On
Ch2 AA Filter: On
Ch1 A-Wt Fitler: Off
Ch2 A-Wt Filter: Off
Ch1 AutoRange: Normal
Ch2 AutoRange: Normal
Playback Start: 0
Playback Length:  494 kPts/ch
Playback Mode: Circular
Playback Speed: Normal
Ch1 Input Range:  -50 dBV
Ch2 Input Range:  -24 dBV
Trig'd Source Mode: Continuous
Trigger Mode: Free Run
Trigger Source: Ch 1
Trigger Level: 0%
Trigger Slope: Rising
Delay A: 0 bins
Delay B: 0 bins
Source: 1
Source Type: 0
Sine Freq 1: 100 kHz
Sine Freq 2: 51.2 kHz
Sine Amp 1: 1000.0 mV
Src Offset: 4000.0 mV
Sine Amp 2:   0.0 mV
Noise Amp: 5000.0 mV
Noise Burst:   0 %
Noise Type: Whte
Chirp Amp: 1000.0 mV
Chirp Burst:   0 %
Chirp Source: Display B
Arb Src Amp: 100.01 %
Arb Src Buf: Arb. Buffer
Arb Src Rate: 262.1 kHz
Arb Src Start: 0
Arb Src Len:    4 kPts
Input Source: Analog
****DATA BEGINS****
            x  	         Real    	         Imag    	      Log Mag
              0	    7.409485e-005	    2.794241e-007	        -82.60418
              2	    3.417414e-007	    3.242122e-007	        -126.5384
              4	    1.216777e-007	    2.868282e-007	        -130.1289
              6	    6.966054e-008	    2.113191e-007	        -133.0532
              8	    9.148531e-008	    8.587409e-008	        -138.0289
             10	    6.220115e-008	    1.337183e-007	        -136.6255
             12	    1.730321e-007	    9.259591e-008	        -134.1438
             14	    7.290534e-008	    1.127566e-007	        -137.4402
             16	    6.431373e-008	    9.711469e-008	         -138.675
             18	    1.410405e-007	     4.04217e-008	        -136.6703
             20	    1.096701e-007	      1.2031e-007	        -135.7672
             22	    9.474701e-008	    1.098868e-007	         -136.767
             24	    1.503888e-007	    5.693216e-008	         -135.874
             26	    8.082107e-008	    7.986495e-008	        -138.8906
             28	    8.250513e-008	    4.981267e-008	        -140.3206
             30	    6.522429e-008	    8.976583e-008	        -139.0967
             32	    6.175673e-008	    8.131693e-008	        -139.8187
             34	    9.133032e-008	    5.061734e-008	        -139.6244
             36	    7.003542e-008	    7.651503e-008	        -139.6821
             38	    3.932774e-008	    8.421533e-008	        -140.6354
             40	    5.234157e-008	     9.94151e-008	        -138.9884
             42	    7.420382e-008	    3.537543e-008	        -141.7021
             44	    3.354429e-008	    8.216296e-008	         -141.037
             46	     9.11605e-008	    6.840084e-008	        -138.8643
             48	    8.822691e-008	    5.292006e-008	        -139.7533
             50	    4.154884e-008	    4.179937e-008	        -144.5923
             52	    4.395274e-008	    4.350412e-008	        -144.1743
             54	    7.060866e-008	    4.378574e-008	        -141.6098
             56	    4.629023e-008	    5.560848e-008	        -142.8108
             58	    5.382339e-008	    5.527168e-008	        -142.2534
             60	    1.894361e-006	     9.33795e-007	        -113.5061
             62	    3.840655e-008	    3.979264e-008	        -145.1449
             64	    6.536595e-008	    4.429211e-008	         -142.052
             66	    6.332331e-008	    4.037636e-008	        -142.4871
