#CCD_pos	Hwaist2d(um)	Vwaist2d(um)	Aspect_Ratio	Hcenter	Vcenter	HcenterOriginal	VcenterOriginal	phi	counter	
100.000	49.584	50.388	0.984	26.000	26.000	988.797	246.273	78.573	413.000
100.000	49.615	50.323	0.986	25.000	25.000	988.827	246.241	78.573	413.000
100.000	49.642	50.413	0.985	26.000	26.000	988.863	246.284	78.573	413.000
100.000	49.667	50.421	0.985	26.000	26.000	988.761	246.243	78.573	413.000
150.000	46.069	46.715	0.986	24.000	25.000	993.721	252.577	78.573	413.000
150.000	46.092	46.624	0.989	24.000	24.000	993.861	252.472	78.573	413.000
150.000	46.204	46.697	0.989	24.000	25.000	993.763	252.513	78.573	413.000
150.000	46.039	46.607	0.988	23.000	23.000	994.073	252.475	78.573	413.000
200.000	42.814	42.889	0.998	22.000	22.000	999.233	258.776	78.573	413.000
200.000	42.802	42.917	0.997	22.000	22.000	999.307	258.737	78.573	413.000
200.000	42.753	42.914	0.996	22.000	22.000	999.323	258.674	78.573	413.000
200.000	42.800	42.885	0.998	22.000	22.000	999.600	258.699	78.573	413.000
200.000	42.771	42.915	0.997	22.000	22.000	999.806	258.624	78.573	413.000
250.000	39.912	39.686	1.006	20.000	20.000	1004.828	265.105	78.573	413.000
250.000	39.907	39.676	1.006	20.000	20.000	1004.845	265.102	78.573	413.000
250.000	39.875	39.730	1.004	20.000	20.000	1004.821	265.083	78.573	413.000
250.000	39.921	39.689	1.006	20.000	20.000	1004.800	265.087	78.573	413.000
300.000	37.757	37.362	1.011	19.000	19.000	1009.865	271.327	78.573	413.000
300.000	37.721	37.315	1.011	19.000	19.000	1010.259	271.237	78.573	413.000
300.000	37.687	37.334	1.009	19.000	19.000	1009.995	271.266	78.573	413.000
300.000	37.719	37.409	1.008	19.000	19.000	1009.852	271.206	78.573	413.000
300.000	37.686	37.349	1.009	19.000	19.000	1009.763	271.296	78.573	413.000
350.000	36.494	35.891	1.017	18.000	18.000	1015.668	277.424	78.573	413.000
350.000	36.497	35.958	1.015	18.000	18.000	1015.780	277.412	78.573	413.000
350.000	36.563	35.992	1.016	19.000	19.000	1015.801	277.394	78.573	413.000
350.000	36.566	35.981	1.016	18.000	18.000	1015.752	277.439	78.573	413.000
350.000	36.563	35.984	1.016	18.000	18.000	1015.736	277.359	78.573	413.000
400.000	36.646	36.022	1.017	18.000	18.000	1020.617	283.763	78.573	413.000
400.000	36.636	36.057	1.016	19.000	18.000	1020.612	283.748	78.573	413.000
400.000	36.636	36.052	1.016	18.000	18.000	1020.610	283.739	78.573	413.000
450.000	38.154	37.482	1.018	19.000	19.000	1026.004	289.869	78.573	413.000
450.000	38.130	37.548	1.015	19.000	19.000	1026.023	289.841	78.573	413.000
450.000	38.221	37.576	1.017	19.000	19.000	1026.034	289.814	78.573	413.000
450.000	38.088	37.508	1.015	19.000	19.000	1025.996	289.855	78.573	413.000
450.000	38.145	37.484	1.018	19.000	19.000	1025.998	289.854	78.573	413.000
500.000	40.979	40.427	1.014	21.000	20.000	1031.564	295.927	78.573	413.000
500.000	40.854	40.408	1.011	21.000	20.000	1031.579	295.946	78.573	413.000
500.000	40.896	40.480	1.010	21.000	20.000	1031.560	295.925	78.573	413.000
500.000	40.949	40.470	1.012	21.000	20.000	1031.581	295.938	78.573	413.000
500.000	40.935	40.534	1.010	21.000	21.000	1031.598	295.964	78.573	413.000
