#CCD_pos	Hwaist2d(um)	Vwaist2d(um)	Aspect_Ratio	Hcenter	Vcenter	HcenterOriginal	VcenterOriginal	phi	counter	
500.000	44.092	44.519	0.990	22.000	22.000	1032.093	294.052	57.098	413.000
500.000	44.215	44.545	0.993	22.000	22.000	1032.040	294.052	57.098	413.000
500.000	44.225	44.629	0.991	22.000	22.000	1032.090	293.995	57.098	413.000
500.000	44.108	44.528	0.991	22.000	22.000	1032.050	294.047	57.098	413.000
500.000	44.234	44.577	0.992	22.000	22.000	1032.035	294.026	57.098	413.000
500.000	44.220	44.484	0.994	22.000	22.000	1032.074	294.071	57.098	413.000
450.000	41.882	41.824	1.001	21.000	21.000	1026.571	288.296	57.098	413.000
450.000	41.868	41.862	1.000	22.000	22.000	1026.579	288.360	57.098	413.000
450.000	41.844	41.881	0.999	21.000	21.000	1026.585	288.353	57.098	413.000
450.000	41.911	41.888	1.001	21.000	21.000	1026.528	288.290	57.098	413.000
450.000	41.991	42.028	0.999	22.000	22.000	1026.548	288.307	57.098	413.000
400.000	41.156	40.919	1.006	21.000	21.000	1020.951	282.565	57.098	413.000
400.000	41.221	40.989	1.006	21.000	21.000	1020.922	282.587	57.098	413.000
400.000	41.151	40.951	1.005	21.000	21.000	1020.913	282.588	57.098	413.000
400.000	41.096	40.920	1.004	21.000	21.000	1020.925	282.572	57.098	413.000
350.000	41.756	41.293	1.011	22.000	22.000	1015.404	276.695	57.098	413.000
350.000	41.835	41.398	1.011	22.000	22.000	1015.671	276.714	57.098	413.000
350.000	41.811	41.375	1.011	22.000	22.000	1015.884	276.739	57.098	413.000
350.000	41.823	41.367	1.011	22.000	22.000	1015.464	276.731	57.098	413.000
300.000	44.293	43.985	1.007	23.000	23.000	1009.927	270.865	57.098	413.000
300.000	44.342	44.059	1.006	23.000	23.000	1010.274	270.909	57.098	413.000
300.000	44.239	43.992	1.006	23.000	23.000	1009.853	270.914	57.098	413.000
300.000	44.350	44.089	1.006	23.000	23.000	1009.840	270.899	57.098	413.000
250.000	49.324	49.314	1.000	25.000	25.000	1004.921	264.963	57.098	413.000
250.000	49.359	49.450	0.998	25.000	25.000	1004.943	264.954	57.098	413.000
250.000	49.287	49.246	1.001	25.000	25.000	1004.950	264.939	57.098	413.000
250.000	49.305	49.416	0.998	25.000	25.000	1004.936	264.960	57.098	413.000
200.000	57.754	59.103	0.977	29.000	29.000	999.766	259.298	57.098	413.000
200.000	57.893	59.213	0.978	30.000	30.000	999.672	259.318	57.098	413.000
200.000	57.815	58.976	0.980	29.000	29.000	999.715	259.303	57.098	413.000
200.000	57.732	59.068	0.977	29.000	29.000	999.869	259.289	57.098	413.000
150.000	67.977	69.404	0.979	35.000	36.000	994.889	253.643	57.098	413.000
150.000	68.066	69.319	0.982	35.000	36.000	994.924	253.599	57.098	413.000
100.000	79.006	81.282	0.972	42.000	42.000	988.918	248.165	57.098	413.000
100.000	80.801	83.089	0.972	112.000	202.000	989.159	248.119	57.098	413.000
100.000	79.036	81.248	0.973	43.000	43.000	989.115	248.156	57.098	413.000
