#           ax0c           ax1c           ax0w           ax1w   mGR3H
    2.156547e+02   2.410249e+02   1.210204e+01   9.848338e+00      10
    2.153336e+02   2.402715e+02   1.088087e+01   1.084347e+01      10
    2.156465e+02   2.399680e+02   1.118344e+01   1.015157e+01      10
    2.155884e+02   2.397473e+02   1.024938e+01   1.165315e+01      10
    2.156011e+02   2.433126e+02   8.851534e+00   1.648612e+01      10
    2.153237e+02   2.465305e+02   8.467031e+00   1.433615e+01      10
    2.157730e+02   2.498554e+02   9.575782e+00   1.445407e+01      10
    2.157876e+02   2.508520e+02   9.883569e+00   1.122717e+01      10
    2.156823e+02   2.505483e+02   1.042912e+01   1.092890e+01      10
    2.158637e+02   2.498713e+02   1.110358e+01   1.051184e+01      10
