# Data taken on 08/17/2011
#    uvdet           nfit       shot
    -1.200   4.297073e+06   4.291E+3
    -1.000   4.087100e+06   4.292E+3
    0.000E+0   -3.784576e+09   4.293E+3
    -1.600   4.384348e+06   4.294E+3
    -0.400   3.695737e+06   4.295E+3
    -1.400   4.418419e+06   4.296E+3
    -0.800   4.169432e+06   4.297E+3
    -0.600   3.528241e+06   4.298E+3
    -0.200   1.873901e+06   4.299E+3
    -1.800   4.074099e+06   4.300E+3
    -2.400   2.643564e+06   4.301E+3
    -2.800   2.399059e+06   4.302E+3
    -2.600   2.637827e+06   4.303E+3
    -2.000   3.869592e+06   4.304E+3
    -2.200   3.083342e+06   4.305E+3
    -3.000   1.879844e+06   4.306E+3
