#   uvpow           nfit
    9.000   4.230939e+06
    5.000   3.211551e+06
    11.500   4.903421e+06
    8.000   4.083101e+06
    15.000   6.508748e+06
    4.500   3.117528e+06
    16.500   6.670059e+06
    12.500   5.276085e+06
    4.000   3.154040e+06
    2.500   2.610574e+06
    14.000   5.610104e+06
    13.500   5.598588e+06
    15.500   6.668191e+06
    12.000   4.530816e+06
    3.500   2.909097e+06
    8.500   4.127161e+06
    6.000   3.744853e+06
    6.500   3.441206e+06
    1.500   2.044772e+06
    5.500   3.759812e+06
    16.000   6.894230e+06
    10.000   4.798477e+06
    9.500   4.454621e+06
    1.000   1.637335e+06
    2.000   2.212812e+06
    7.500   3.834593e+06
    13.000   5.631953e+06
    17.000   7.572179e+06
    11.000   4.811957e+06
    10.500   4.709472e+06
    7.000   3.682864e+06
    14.500   6.100799e+06
    3.000   2.776880e+06
     16.5   6.858980e+06
     16.5   7.079378e+06
     16.5   6.959111e+06
     17.0   7.380046e+06
