# Data taken on 08/17/2011
#   uvreppow           nfit       shot
       4.000   4.567879e+06   4.218E+3
       3.000   4.556887e+06   4.219E+3
       2.000   4.100584e+06   4.220E+3
       7.000   4.399391e+06   4.221E+3
       8.000   4.345076e+06   4.222E+3
       9.000   4.524813e+06   4.223E+3
       1.000   2.282142e+06   4.224E+3
       5.000   4.639716e+06   4.225E+3
       6.000   4.443764e+06   4.226E+3
       2.500   4.187584e+06   4.227E+3
       3.500   4.446621e+06   4.228E+3
       4.500   4.598115e+06   4.229E+3
       9.500   4.332767e+06   4.230E+3
       7.500   4.135829e+06   4.231E+3
       8.500   4.565575e+06   4.232E+3
       0.500   7.695874e+05   4.233E+3
       1.500   3.170844e+06   4.234E+3
       5.500   4.684384e+06   4.235E+3
       6.500   4.361156e+06   4.236E+3
       9.750   4.205796e+06   4.237E+3
       0.750   1.333233e+06   4.238E+3
       2.750   4.560395e+06   4.239E+3
       7.750   4.438297e+06   4.240E+3
       1.750   3.855593e+06   4.241E+3
       8.750   4.218944e+06   4.242E+3
       4.750   4.586106e+06   4.243E+3
       6.750   4.420024e+06   4.244E+3
       5.750   4.315518e+06   4.245E+3
       3.750   4.332916e+06   4.246E+3
