#  UV:uvpow	      Shot
  9.000000	     04728
  5.000000	     04729
 11.500000	     04730
  8.000000	     04731
 15.000000	     04732
  4.500000	     04733
 16.500000	     04734
 12.500000	     04735
  4.000000	     04736
  2.500000	     04737
 14.000000	     04738
 13.500000	     04739
 15.500000	     04740
 12.000000	     04741
  3.500000	     04742
  8.500000	     04743
  6.000000	     04744
  6.500000	     04745
  1.500000	     04746
  5.500000	     04747
 16.000000	     04748
 10.000000	     04749
  9.500000	     04750
  1.000000	     04751
  2.000000	     04752
  7.500000	     04753
 13.000000	     04754
 17.000000	     04755
 11.000000	     04756
 10.500000	     04757
  7.000000	     04758
 14.500000	     04759
  3.000000	     04760
