# Data taken on 08/17/2011
#   uvpow           nfit       shot
    5.400   2.959261e+06   4.247E+3
    9.400   3.696580e+06   4.248E+3
    9.900   3.624045e+06   4.249E+3
    5.900   3.069114e+06   4.250E+3
    3.400   2.354733e+06   4.251E+3
    12.900   3.986477e+06   4.252E+3
    16.400   4.258201e+06   4.253E+3
    10.900   3.853937e+06   4.254E+3
    6.900   2.873658e+06   4.255E+3
    11.400   3.727342e+06   4.256E+3
    0.900   1.268505e+06   4.257E+3
    6.400   3.102888e+06   4.258E+3
    12.400   3.806755e+06   4.259E+3
    15.400   4.123272e+06   4.260E+3
    1.900   1.835930e+06   4.261E+3
    10.400   3.675385e+06   4.262E+3
    8.900   3.550439e+06   4.263E+3
    14.900   4.188779e+06   4.264E+3
    8.400   3.602771e+06   4.265E+3
    14.400   3.678601e+06   4.266E+3
    13.400   3.865085e+06   4.267E+3
    4.400   2.630982e+06   4.268E+3
    15.900   4.044524e+06   4.269E+3
    7.400   3.301360e+06   4.270E+3
    16.900   4.522896e+06   4.271E+3
    0.400   7.188373e+05   4.272E+3
    3.900   2.700428e+06   4.273E+3
    13.900   4.132699e+06   4.274E+3
    11.900   3.853603e+06   4.275E+3
    7.900   3.418216e+06   4.276E+3
    4.900   2.745339e+06   4.277E+3
    2.900   2.297888e+06   4.278E+3
    1.400   1.351565e+06   4.279E+3
    17.400   4.737858e+06   4.280E+3
    2.400   1.980277e+06   4.281E+3
    14.400   3.970172e+06   4.282E+3
    14.800   4.039370e+06   4.283E+3
    16.400   4.404223e+06   4.284E+3
    15.200   4.153143e+06   4.285E+3
    16.000   4.276079e+06   4.286E+3
    14.000   3.839536e+06   4.287E+3
    15.600   4.273061e+06   4.288E+3
    16.800   4.630123e+06   4.289E+3
    13.600   3.922483e+06   4.290E+3
